oncul,sonuc,support,confidence,lift,birlikte_gorulme
KAMERA SİSTEMİ ARIZALARI,OTOMATİK ŞANZIMAN ARIZALARI,0.4653,0.7913,1.065,1710
OTOMATİK ŞANZIMAN ARIZALARI,KAMERA SİSTEMİ ARIZALARI,0.4653,0.6264,1.065,1710
BASINÇLI MOTOR YAĞI SİSTEMİ,MOTOR ARIZALARI,0.3374,0.9531,1.065,1240
MOTOR ARIZALARI,BASINÇLI MOTOR YAĞI SİSTEMİ,0.3374,0.3771,1.065,1240
KLİMA SİSTEMİ ARIZALARI,ISITMA SİSTEMİ,0.6819,0.7878,1.065,2506
ISITMA SİSTEMİ,KLİMA SİSTEMİ ARIZALARI,0.6819,0.9217,1.065,2506
KAPI ARIZALARI,KAYIŞ KASNAK ARIZALARI,0.4501,0.5081,1.065,1654
KAYIŞ KASNAK ARIZALARI,KAPI ARIZALARI,0.4501,0.943,1.065,1654
KLİMA SİSTEMİ ARIZALARI,MOTOR ARIZALARI,0.825,0.9532,1.065,3032
MOTOR ARIZALARI,KLİMA SİSTEMİ ARIZALARI,0.825,0.9221,1.065,3032
YAKIT ve ENJEKSİYON ARIZALARI,Destek,0.5309,0.8352,1.064,1951
Destek,YAKIT ve ENJEKSİYON ARIZALARI,0.5309,0.6763,1.064,1951
FREN ŞİKAYETLERİ,KAYIŞ KASNAK ARIZALARI,0.4313,0.5075,1.063,1585
KAYIŞ KASNAK ARIZALARI,FREN ŞİKAYETLERİ,0.4313,0.9036,1.063,1585
BASINÇLI MOTOR YAĞI SİSTEMİ,FREN ŞİKAYETLERİ,0.3195,0.9024,1.062,1174
FREN ŞİKAYETLERİ,BASINÇLI MOTOR YAĞI SİSTEMİ,0.3195,0.3759,1.062,1174
SOĞUTMA SİSTEMİ ARIZASI,SÜSPANSİYON SİSTEMİ ARIZALARI,0.6669,0.7391,1.062,2451
SÜSPANSİYON SİSTEMİ ARIZALARI,SOĞUTMA SİSTEMİ ARIZASI,0.6669,0.9585,1.062,2451
SOĞUTMA SİSTEMİ ARIZASI,Destek,0.7513,0.8326,1.061,2761
Destek,SOĞUTMA SİSTEMİ ARIZASI,0.7513,0.957,1.061,2761
MOTOR ARIZALARI,ISITMA SİSTEMİ,0.702,0.7847,1.061,2580
ISITMA SİSTEMİ,MOTOR ARIZALARI,0.702,0.9489,1.061,2580
OTOMATİK ŞANZIMAN ARIZALARI,KAPI ARIZALARI,0.6974,0.9388,1.06,2563
