SIDARAC,marka,arac_yasi,yakitturu,garaj_ilce,RF_ARIZA_SKORU,RF_RISK_ETIKETI,RF_ARIZA_OLASILIGI,RİSK_SEVİYESİ,HEDEF_ARIZA_30GUN
172.0,BMC,8.0,MOTORIN,Küçükçekmece,96.9,🔴 Kritik,0.968781711085129,🔴 YÜKSEK RİSK,1
173.0,BMC,8.0,MOTORIN,Küçükçekmece,98.6,🔴 Kritik,0.9858389434849587,🔴 YÜKSEK RİSK,1
174.0,BMC,8.0,MOTORIN,Küçükçekmece,98.0,🔴 Kritik,0.9804027014792736,🔴 YÜKSEK RİSK,1
175.0,BMC,8.0,MOTORIN,Küçükçekmece,98.9,🔴 Kritik,0.9891739358191488,🔴 YÜKSEK RİSK,1
176.0,BMC,8.0,MOTORIN,Küçükçekmece,93.9,🔴 Kritik,0.9390184122142883,🟠 ORTA-YÜKSEK,1
177.0,NAN,1.0,NAN,,73.0,🟠 Yüksek,0.7301036017013166,🟠 ORTA-YÜKSEK,1
178.0,BMC,8.0,MOTORIN,Küçükçekmece,98.7,🔴 Kritik,0.9865243224239498,🔴 YÜKSEK RİSK,1
179.0,BMC,8.0,MOTORIN,Küçükçekmece,93.6,🔴 Kritik,0.9363984773483276,🟠 ORTA-YÜKSEK,1
180.0,BMC,8.0,MOTORIN,Küçükçekmece,98.3,🔴 Kritik,0.983280777300862,🔴 YÜKSEK RİSK,1
181.0,BMC,8.0,MOTORIN,Küçükçekmece,96.9,🔴 Kritik,0.9692172366934305,🔴 YÜKSEK RİSK,1
182.0,BMC,8.0,MOTORIN,Küçükçekmece,95.4,🔴 Kritik,0.953856997315103,🔴 YÜKSEK RİSK,1
183.0,BMC,8.0,MOTORIN,Küçükçekmece,96.5,🔴 Kritik,0.9647040810917755,🔴 YÜKSEK RİSK,1
184.0,BMC,8.0,MOTORIN,Küçükçekmece,63.0,🟠 Yüksek,0.63008307595561,🔴 YÜKSEK RİSK,0
185.0,BMC,8.0,MOTORIN,Küçükçekmece,92.7,🔴 Kritik,0.9265897902979339,🔴 YÜKSEK RİSK,1
186.0,BMC,8.0,MOTORIN,Küçükçekmece,98.2,🔴 Kritik,0.9821642634845414,🔴 YÜKSEK RİSK,1
187.0,BMC,8.0,MOTORIN,Küçükçekmece,96.2,🔴 Kritik,0.9616434594077967,🔴 YÜKSEK RİSK,1
188.0,BMC,8.0,MOTORIN,Küçükçekmece,90.4,🔴 Kritik,0.9035149982929604,🔴 YÜKSEK RİSK,1
189.0,BMC,8.0,MOTORIN,Küçükçekmece,97.8,🔴 Kritik,0.9778958016938154,🔴 YÜKSEK RİSK,1
190.0,BMC,8.0,MOTORIN,Küçükçekmece,84.6,🔴 Kritik,0.8457965297446967,🔴 YÜKSEK RİSK,1
191.0,BMC,8.0,MOTORIN,Küçükçekmece,95.4,🔴 Kritik,0.9538068493514444,🔴 YÜKSEK RİSK,1
192.0,BMC,8.0,MOTORIN,Küçükçekmece,94.4,🔴 Kritik,0.9435829643484341,🔴 YÜKSEK RİSK,1
193.0,BMC,8.0,MOTORIN,Küçükçekmece,97.1,🔴 Kritik,0.9711061123054714,🔴 YÜKSEK RİSK,1
194.0,BMC,8.0,MOTORIN,Küçükçekmece,95.7,🔴 Kritik,0.9572106350091937,🔴 YÜKSEK RİSK,1
195.0,BMC,8.0,MOTORIN,Küçükçekmece,95.4,🔴 Kritik,0.9543941013065453,🔴 YÜKSEK RİSK,1
196.0,BMC,8.0,MOTORIN,Küçükçekmece,81.0,🔴 Kritik,0.8096591706009044,🔴 YÜKSEK RİSK,1
197.0,BMC,8.0,MOTORIN,Küçükçekmece,95.6,🔴 Kritik,0.9559823369062225,🔴 YÜKSEK RİSK,1
198.0,BMC,8.0,MOTORIN,Küçükçekmece,95.4,🔴 Kritik,0.9540941145565393,🔴 YÜKSEK RİSK,1
199.0,BMC,8.0,MOTORIN,Küçükçekmece,98.6,🔴 Kritik,0.9858237591057598,🟠 ORTA-YÜKSEK,1
200.0,BMC,8.0,MOTORIN,Küçükçekmece,93.9,🔴 Kritik,0.9394466402482103,🔴 YÜKSEK RİSK,1
201.0,NAN,8.0,NAN,,4.6,🟢 Düşük,0.045747047380443384,🟠 ORTA-YÜKSEK,0
202.0,NAN,8.0,NAN,,33.2,🟡 Orta,0.33190039028194973,🟠 ORTA-YÜKSEK,1
203.0,NAN,13.0,NAN,,32.9,🟡 Orta,0.3286167651958667,🟠 ORTA-YÜKSEK,1
204.0,NAN,8.0,NAN,,30.9,🟡 Orta,0.3092687560911257,🟠 ORTA-YÜKSEK,0
205.0,NAN,8.0,NAN,,19.1,🟢 Düşük,0.19100006667706027,🟠 ORTA-YÜKSEK,0
206.0,NAN,12.0,NAN,,28.2,🟡 Orta,0.28214542543257637,🟠 ORTA-YÜKSEK,1
207.0,NAN,7.0,NAN,,22.6,🟢 Düşük,0.22641791256406146,🟠 ORTA-YÜKSEK,1
208.0,NAN,8.0,NAN,,19.0,🟢 Düşük,0.18970681673216674,🟠 ORTA-YÜKSEK,0
209.0,NAN,13.0,NAN,,17.5,🟢 Düşük,0.17466205104496788,🟠 ORTA-YÜKSEK,0
210.0,NAN,10.0,NAN,,66.5,🟠 Yüksek,0.6646723820829179,🟠 ORTA-YÜKSEK,1
211.0,NAN,8.0,NAN,,63.8,🟠 Yüksek,0.6382677586554948,🟠 ORTA-YÜKSEK,1
212.0,NAN,0.0,NAN,,13.5,🟢 Düşük,0.13528783653814672,🟠 ORTA-YÜKSEK,0
213.0,NAN,14.0,NAN,,38.8,🟡 Orta,0.38773073171958145,🟠 ORTA-YÜKSEK,1
214.0,NAN,13.0,NAN,,26.7,🟡 Orta,0.26698399875092255,🟠 ORTA-YÜKSEK,0
215.0,NAN,13.0,NAN,,19.0,🟢 Düşük,0.18975487684409842,🟠 ORTA-YÜKSEK,1
216.0,NAN,13.0,NAN,,61.8,🟠 Yüksek,0.6179361614619677,🟠 ORTA-YÜKSEK,1
